t,o,h,l,c,v,qv
1758417600000,4483.36,4484.27,4483.36,4484.26,215.32,965452.52259
1758417660000,4484.27,4484.82,4484.26,4484.78,273.858,1228142.29332
1758417720000,4484.78,4485.37,4484.65,4484.66,348.077,1561124.29024
1758417780000,4484.66,4484.66,4483.22,4483.22,364.398,1633969.07824
1758417840000,4483.23,4484.17,4483.22,4484.17,243.566,1092112.08956
1758417900000,4484.16,4485.3,4484.16,4484.95,270.627,1213754.25839
1758417960000,4484.95,4485.23,4484.95,4485.16,316.708,1420461.09678
1758418020000,4485.16,4485.16,4483.5,4483.5,379.457,1701627.28359
1758418080000,4483.51,4485.15,4483.5,4485.14,137.635,617248.79248
1758418140000,4485.15,4485.15,4483.59,4483.77,343.816,1541758.75791
1758418200000,4483.77,4483.77,4483.19,4483.75,136.505,611993.06923
1758418260000,4483.74,4483.75,4482.74,4482.74,80.297,360000.34593
1758418320000,4482.75,4482.75,4482.08,4482.44,248.502,1113895.75182
1758418380000,4482.45,4483.11,4482.44,4482.73,175.976,788890.61464
1758418440000,4482.72,4482.73,4482.0,4482.01,171.98,770845.94694
1758418500000,4482.01,4482.63,4482.0,4482.0,210.554,943733.5351
1758418560000,4482.01,4482.6,4481.92,4481.93,201.456,902990.2193
1758418620000,4481.93,4483.27,4481.92,4481.93,409.597,1836177.38871
1758418680000,4481.92,4481.93,4481.12,4481.13,168.325,754330.9475
1758418740000,4481.12,4481.13,4480.52,4481.05,324.259,1452938.15525
1758418800000,4481.05,4481.05,4480.22,4480.23,306.941,1375350.28638
1758418860000,4480.22,4480.23,4478.24,4479.8,1663.999,7454037.35841
1758418920000,4479.8,4479.96,4478.66,4478.66,296.467,1327933.95472
1758418980000,4478.66,4478.66,4477.64,4477.89,763.415,3418666.72023
1758419040000,4477.89,4479.34,4477.89,4479.34,372.649,1668883.34279
1758419100000,4479.34,4480.36,4478.37,4478.49,901.133,4036004.61805
1758419160000,4478.48,4478.49,4477.82,4477.83,299.244,1340092.02407
1758419220000,4477.83,4477.98,4477.25,4477.56,568.668,2546204.01918
1758419280000,4477.56,4477.71,4477.39,4477.7,304.375,1362848.7083
1758419340000,4477.71,4480.12,4477.7,4479.78,338.798,1517573.35002
1758419400000,4479.78,4479.8,4477.7,4478.42,265.592,1189554.47281
1758419460000,4478.42,4479.42,4478.15,4479.05,149.998,671805.78909
1758419520000,4479.05,4480.59,4477.04,4477.8,1294.216,5796219.51939
1758419580000,4477.8,4478.72,4477.79,4477.86,347.735,1557314.74177
1758419640000,4477.86,4477.86,4477.03,4477.03,257.236,1151742.92042
1758419700000,4477.03,4477.29,4476.76,4477.17,568.688,2545969.39202
1758419760000,4477.17,4477.18,4476.08,4477.17,322.456,1443476.98123
1758419820000,4477.18,4478.35,4476.79,4477.66,260.068,1164428.45216
1758419880000,4477.66,4478.22,4476.86,4477.94,124.6,557911.072
1758419940000,4477.94,4479.55,4477.93,4479.1,359.572,1610529.95643
1758420000000,4479.11,4479.11,4477.83,4478.01,340.222,1523547.06607
1758420060000,4478.02,4480.44,4478.01,4480.06,516.403,2313165.92344
1758420120000,4480.06,4481.28,4480.05,4481.28,646.616,2897278.60181
1758420180000,4481.28,4481.28,4479.3,4479.66,742.767,3327620.34707
1758420240000,4479.67,4479.67,4479.66,4479.67,88.573,396777.56041
1758420300000,4479.66,4480.53,4479.25,4480.52,213.878,958174.85625
1758420360000,4480.52,4480.77,4479.63,4480.13,300.77,1347529.63257
1758420420000,4480.14,4480.77,4479.87,4479.87,291.7,1306946.85271
1758420480000,4479.88,4479.88,4479.47,4479.68,145.95,653801.49709
1758420540000,4479.67,4479.89,4479.63,4479.89,221.176,990794.73227
1758420600000,4479.89,4480.79,4479.88,4480.79,336.379,1507162.81563
1758420660000,4480.79,4482.74,4480.78,4482.74,681.28,3053435.94021
1758420720000,4482.74,4483.87,4482.73,4483.87,522.053,2340433.09601
1758420780000,4483.87,4484.99,4483.86,4484.99,431.564,1935443.26072
1758420840000,4484.98,4485.0,4483.79,4483.8,690.38,3096083.95151
1758420900000,4483.79,4484.73,4483.79,4484.73,347.113,1556626.13262
1758420960000,4484.73,4485.75,4484.72,4485.75,375.112,1682486.29191
1758421020000,4485.74,4486.29,4477.78,4478.95,7689.091,34458227.06534
1758421080000,4478.95,4478.96,4467.89,4471.55,10059.543,44983269.01303
1758421140000,4471.55,4472.21,4471.55,4472.2,797.029,3564089.81781
1758421200000,4472.2,4473.1,4468.0,4468.37,3256.723,14562451.73966
1758421260000,4468.37,4468.38,4454.29,4460.21,43015.642,191822524.42614
1758421320000,4460.2,4466.15,4460.2,4466.15,5873.638,26222509.64555
1758421380000,4466.14,4467.37,4466.14,4466.4,1719.595,7681540.77731
1758421440000,4466.41,4466.46,4466.4,4466.45,837.196,3739275.84049
1758421500000,4466.46,4466.95,4466.02,4466.31,1408.758,6292269.86156
1758421560000,4466.3,4466.31,4464.68,4464.69,801.643,3579788.17552
1758421620000,4464.68,4466.0,4464.68,4465.99,1028.614,4592906.72513
1758421680000,4466.0,4467.91,4466.0,4467.8,1857.361,8297451.33505
1758421740000,4467.8,4475.35,4467.14,4473.55,9189.087,41090994.46668
1758421800000,4473.55,4473.55,4471.28,4471.28,959.152,4289601.48708
1758421860000,4471.28,4471.29,4470.43,4470.43,1053.316,4709187.64353
1758421920000,4470.44,4472.47,4470.44,4472.41,1996.761,8928469.55578
1758421980000,4472.42,4474.0,4472.41,4474.0,474.473,2122306.75665
1758422040000,4474.0,4475.99,4473.99,4475.98,1171.392,5242100.07028
1758422100000,4475.99,4476.38,4475.56,4475.62,1059.883,4744121.68193
1758422160000,4475.62,4475.63,4473.9,4473.91,497.516,2226193.51411
1758422220000,4473.91,4474.53,4473.9,4474.53,238.912,1068930.69565
1758422280000,4474.53,4475.1,4474.52,4474.57,384.399,1720105.51062
1758422340000,4474.57,4475.55,4474.37,4474.56,527.283,2359575.1603
